date,380:CO:SNTL,737:CO:SNTL
2016-12-04,38.099999999999994,134.61999999999998
2016-12-05,40.64,137.16
2016-12-06,40.64,137.16
2016-12-07,43.18,152.39999999999998
2016-12-08,43.18,154.93999999999997
2016-12-09,50.8,165.1
2016-12-10,58.419999999999995,172.72
2016-12-11,63.5,180.33999999999997
2016-12-12,78.74,200.66
2016-12-13,78.74,200.66
2016-12-14,81.28,200.66
2016-12-15,88.89999999999999,208.27999999999997
2016-12-16,96.52,226.06
2016-12-17,139.7,322.58
2016-12-18,139.7,332.73999999999995
2016-12-19,139.7,332.73999999999995
2016-12-20,142.23999999999998,332.73999999999995
2016-12-21,142.23999999999998,332.73999999999995
2016-12-22,144.78,332.73999999999995
2016-12-23,160.01999999999998,358.14
2016-12-24,167.64,368.29999999999995
2016-12-25,175.26,378.46
2016-12-26,177.79999999999998,386.08
2016-12-27,177.79999999999998,388.62
2016-12-28,180.33999999999997,388.62
2016-12-29,182.88,388.62
2016-12-30,182.88,388.62
2016-12-31,182.88,388.62
2017-01-01,182.88,388.62
2017-01-02,185.42,396.23999999999995
2017-01-03,190.5,421.64
2017-01-04,190.5,436.87999999999994
2017-01-05,226.06,480.05999999999995
2017-01-06,251.46,515.62
2017-01-07,251.46,515.62
2017-01-08,254.0,520.6999999999999
2017-01-09,279.4,553.72
2017-01-10,314.96,650.24
2017-01-11,322.58,675.64
2017-01-12,337.82,711.1999999999999
2017-01-13,347.97999999999996,744.22
2017-01-14,350.52,756.92
2017-01-15,355.59999999999997,762.0
2017-01-16,355.59999999999997,764.54
2017-01-17,355.59999999999997,764.54
2017-01-18,355.59999999999997,764.54
2017-01-19,355.59999999999997,767.0799999999999
2017-01-20,358.14,774.6999999999999
2017-01-21,363.21999999999997,787.4
2017-01-22,363.21999999999997,789.9399999999999
2017-01-23,370.84,805.18
2017-01-24,386.08,843.28
2017-01-25,388.62,845.8199999999999
2017-01-26,391.15999999999997,850.9
2017-01-27,391.15999999999997,850.9
2017-01-28,391.15999999999997,850.9
2017-01-29,393.7,853.4399999999999
2017-01-30,393.7,853.4399999999999
2017-01-31,396.23999999999995,853.4399999999999
2017-02-01,396.23999999999995,853.4399999999999
2017-02-02,396.23999999999995,853.4399999999999
2017-02-03,396.23999999999995,853.4399999999999
2017-02-04,398.78,858.5199999999999
2017-02-05,398.78,868.6800000000001
2017-02-06,398.78,871.2199999999999
2017-02-07,401.32,876.3
2017-02-08,434.34000000000003,909.3199999999998
2017-02-09,447.04,911.8599999999999
2017-02-10,447.04,916.9399999999999
2017-02-11,449.58,942.34
2017-02-12,459.74,982.98
2017-02-13,459.74,993.14
2017-02-14,459.74,993.14
2017-02-15,462.28,993.14
2017-02-16,462.28,993.14
2017-02-17,464.82,993.14
2017-02-18,464.82,993.14
2017-02-19,467.35999999999996,995.6800000000001
2017-02-20,472.44,1003.3
2017-02-21,472.44,1010.9199999999998
2017-02-22,472.44,1023.6199999999999
2017-02-23,472.44,1033.78
2017-02-24,477.52,1043.94
2017-02-25,477.52,1056.6399999999999
2017-02-26,480.05999999999995,1066.8
2017-02-27,482.59999999999997,1071.88
2017-02-28,492.75999999999993,1109.98
2017-03-01,502.92,1132.84
2017-03-02,505.4599999999999,1143.0
2017-03-03,508.0,1148.08
2017-03-04,510.54,1148.08
2017-03-05,513.0799999999999,1148.08
2017-03-06,513.0799999999999,1148.08
2017-03-07,518.16,1158.24
2017-03-08,520.6999999999999,1158.24
2017-03-09,520.6999999999999,1158.24
2017-03-10,523.24,1160.78
2017-03-11,523.24,1165.86
2017-03-12,523.24,1176.0199999999998
2017-03-13,523.24,1178.56
2017-03-14,523.24,1188.7199999999998
2017-03-15,523.24,1196.34
2017-03-16,523.24,1206.5
2017-03-17,523.24,1216.6599999999999
2017-03-18,523.24,1216.6599999999999
2017-03-19,523.24,1219.1999999999998
2017-03-20,523.24,1219.1999999999998
2017-03-21,523.24,1219.1999999999998
2017-03-22,523.24,1219.1999999999998
2017-03-23,523.24,1219.1999999999998
2017-03-24,523.24,1224.28
2017-03-25,525.78,1226.82
2017-03-26,525.78,1231.8999999999999
2017-03-27,528.3199999999999,1231.8999999999999
2017-03-28,528.3199999999999,1234.44
2017-03-29,530.8599999999999,1247.1399999999999
2017-03-30,533.4,1254.76
2017-03-31,533.4,1254.76
2017-04-01,533.4,1254.76
2017-04-02,535.94,1254.76
2017-04-03,538.4799999999999,1262.38
2017-04-04,538.4799999999999,1262.38
2017-04-05,541.02,1257.3
2017-04-06,541.02,1262.38
2017-04-07,541.02,1262.38
2017-04-08,535.94,1264.9199999999998
2017-04-09,528.3199999999999,1259.84
2017-04-10,528.3199999999999,1259.84
2017-04-11,523.24,1259.84
2017-04-12,508.0,1254.76
2017-04-13,508.0,1254.76
2017-04-14,485.14,1252.2199999999998
2017-04-15,472.44,1216.6599999999999
2017-04-16,457.2,1186.18
2017-04-17,439.42,1163.32
2017-04-18,424.17999999999995,1143.0
2017-04-19,398.78,1120.1399999999999
2017-04-20,398.78,1112.5199999999998
2017-04-21,391.15999999999997,1099.82
2017-04-22,406.4,1102.36
2017-04-23,401.32,1102.36
2017-04-24,368.29999999999995,1112.5199999999998
2017-04-25,363.21999999999997,1112.5199999999998
2017-04-26,368.29999999999995,1112.5199999999998
2017-04-27,373.37999999999994,1117.6
2017-04-28,388.62,1137.9199999999998
2017-04-29,391.15999999999997,1153.1599999999999
2017-04-30,396.23999999999995,1153.1599999999999
2017-05-01,393.7,1153.1599999999999
2017-05-02,388.62,1153.1599999999999
2017-05-03,388.62,1150.62
2017-05-04,391.15999999999997,1148.08
2017-05-05,363.21999999999997,1145.54
2017-05-06,327.65999999999997,1145.54
2017-05-07,307.34,1120.1399999999999
2017-05-08,287.02,1082.04
2017-05-09,276.86,1043.94
2017-05-10,269.23999999999995,1028.7
2017-05-11,264.15999999999997,1003.3
2017-05-12,231.14,1000.7599999999999
2017-05-13,208.27999999999997,962.6599999999999
2017-05-14,175.26,901.6999999999999
2017-05-15,149.86,866.14
2017-05-16,127.0,840.74
2017-05-17,116.83999999999999,820.4199999999998
2017-05-18,121.91999999999999,822.9599999999999
2017-05-19,129.54,820.4199999999998
2017-05-20,132.07999999999998,825.5
2017-05-21,129.54,830.58
2017-05-22,127.0,825.5
2017-05-23,116.83999999999999,830.58
2017-05-24,91.44,822.9599999999999
2017-05-25,53.339999999999996,800.0999999999999
2017-05-26,20.32,756.92
2017-05-27,10.16,728.9799999999999
2017-05-28,0.0,734.06
2017-05-29,0.0,716.28
2017-05-30,0.0,680.72
2017-05-31,0.0,647.6999999999999
2017-06-01,0.0,609.5999999999999
2017-06-02,0.0,571.5
2017-06-03,0.0,553.72
2017-06-04,0.0,520.6999999999999
2017-06-05,0.0,474.97999999999996
2017-06-06,0.0,434.34000000000003
2017-06-07,0.0,401.32
2017-06-08,0.0,373.37999999999994
2017-06-09,0.0,340.36
2017-06-10,0.0,299.72
2017-06-11,0.0,256.53999999999996
2017-06-12,0.0,223.52
2017-06-13,0.0,195.57999999999998
2017-06-14,0.0,162.56
2017-06-15,0.0,111.76
2017-06-16,0.0,58.419999999999995
2017-06-17,0.0,7.619999999999999
2017-06-18,0.0,0.0
2017-06-19,0.0,0.0
2017-06-20,0.0,0.0
2017-06-21,0.0,0.0
2017-06-22,0.0,0.0
2017-06-23,0.0,0.0
2017-06-24,0.0,0.0
2017-06-25,0.0,0.0
2017-06-26,0.0,0.0
2017-06-27,0.0,0.0
2017-06-28,0.0,0.0
2017-06-29,0.0,0.0
2017-06-30,0.0,0.0
2017-07-01,0.0,0.0
2017-07-02,0.0,0.0
2017-07-03,0.0,0.0
2017-07-04,0.0,0.0
2017-07-05,0.0,0.0
2017-07-06,0.0,0.0
2017-07-07,0.0,0.0
2017-07-08,0.0,0.0
2017-07-09,0.0,0.0
2017-07-10,0.0,0.0
2017-07-11,0.0,0.0
2017-07-12,0.0,0.0
2017-07-13,0.0,0.0
2017-07-14,0.0,0.0
2017-07-15,0.0,0.0
2017-07-16,0.0,0.0
2017-07-17,0.0,0.0
2017-07-18,0.0,0.0
2017-07-19,0.0,0.0
2017-07-20,0.0,0.0
2017-07-21,0.0,0.0
2017-07-22,0.0,0.0
2017-07-23,0.0,0.0
2017-07-24,0.0,0.0
2017-07-25,0.0,0.0
2017-07-26,0.0,0.0
2017-07-27,0.0,0.0
2017-07-28,0.0,0.0
2017-07-29,0.0,0.0
2017-07-30,0.0,0.0
2017-07-31,0.0,0.0
2017-08-01,0.0,0.0
2017-08-02,0.0,0.0
2017-08-03,0.0,0.0
2017-08-04,0.0,0.0
2017-08-05,0.0,0.0
2017-08-06,0.0,0.0
2017-08-07,0.0,0.0
2017-08-08,0.0,0.0
2017-08-09,0.0,0.0
2017-08-10,0.0,0.0
2017-08-11,0.0,0.0
2017-08-12,0.0,0.0
2017-08-13,0.0,0.0
2017-08-14,0.0,0.0
2017-08-15,0.0,0.0
2017-08-16,0.0,0.0
2017-08-17,0.0,0.0
2017-08-18,0.0,0.0
2017-08-19,0.0,0.0
2017-08-20,0.0,0.0
2017-08-21,0.0,0.0
2017-08-22,0.0,0.0
2017-08-23,0.0,0.0
2017-08-24,0.0,0.0
2017-08-25,0.0,0.0
2017-08-26,0.0,0.0
2017-08-27,0.0,0.0
2017-08-28,0.0,0.0
2017-08-29,0.0,0.0
2017-08-30,0.0,0.0
2017-08-31,0.0,0.0
2017-09-01,0.0,0.0
2017-09-02,0.0,0.0
2017-09-03,0.0,0.0
2017-09-04,0.0,0.0
2017-09-05,0.0,0.0
2017-09-06,0.0,0.0
2017-09-07,0.0,0.0
2017-09-08,0.0,0.0
2017-09-09,0.0,0.0
2017-09-10,0.0,0.0
2017-09-11,0.0,0.0
2017-09-12,0.0,0.0
2017-09-13,0.0,0.0
2017-09-14,0.0,0.0
2017-09-15,0.0,0.0
2017-09-16,0.0,0.0
2017-09-17,0.0,0.0
2017-09-18,0.0,0.0
2017-09-19,0.0,0.0
2017-09-20,0.0,0.0
2017-09-21,0.0,0.0
2017-09-22,0.0,0.0
2017-09-23,0.0,0.0
2017-09-24,0.0,0.0
2017-09-25,0.0,0.0
2017-09-26,0.0,0.0
2017-09-27,0.0,0.0
2017-09-28,0.0,0.0
2017-09-29,0.0,0.0
2017-09-30,0.0,0.0
2017-10-01,0.0,10.16
